Type,Trans Date,Post Date,Description,Amount
SALE,03/24/2015,03/25/2015,"TWC*TIME WRNR CABLE",-44.99
SALE,05/22/2015,05/24/2015,"PETSMART INC 2313",-26.34
SALE,05/28/2015,05/29/2015,"CLEVELAND ORCHESTRA",-71.00
SALE,05/31/2015,06/02/2015,"BE LIVE GRAND PUNTA CANA",-630.08
SALE,03/25/2015,03/26/2015,"CVS/PHARMACY #05133",-7.58
SALE,06/01/2015,06/04/2015,"CARIBBEAN'S CIGARS OASIS",-15.00
SALE,04/06/2015,04/07/2015,"WHOLEFDS CTR 10199",-56.83
SALE,04/21/2015,04/23/2015,"MIDDLE RIDGE S11231503",-6.68
SALE,05/04/2015,05/06/2015,"CEDAR LEE THEATRE",-7.00
SALE,03/29/2015,03/31/2015,"ANATOLIA CAFE",-43.00
SALE,04/22/2015,04/23/2015,"USA*Priority Vending",-2.60
SALE,03/15/2015,03/16/2015,"STARBUCKS #02265 CLEVELAN",-4.95
SALE,03/17/2015,03/18/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,03/14/2015,03/15/2015,"JJB*JIBJAB.COM",-18.00
SALE,05/19/2015,05/20/2015,"OAK TREE VETERINARY HOSP",-1214.38
SALE,03/08/2015,03/09/2015,"TMS*JUGOFRESH SOUTH PO",-25.15
SALE,05/27/2015,05/29/2015,"STONE OVEN BAKERY",-18.80
SALE,05/25/2015,05/26/2015,"TARGET        00018044",-29.07
SALE,05/16/2015,05/17/2015,"SQ *PHOENIX COFFEE COMPAN",-3.80
SALE,05/17/2015,05/18/2015,"MCDONALD'S F31878",-5.26
SALE,05/19/2015,05/21/2015,"SHELL OIL 57424215200",-32.00
SALE,05/21/2015,05/24/2015,"T J MAXX #875",-8.62
PAYMENT,04/22/2015,04/22/2015,"Payment Thank You - Web",2537.39
SALE,05/21/2015,05/22/2015,"CVS/PHARMACY #03634",-25.80
SALE,03/31/2015,04/02/2015,"INDIAN CASTLE 12431508",-5.30
SALE,04/23/2015,04/24/2015,"USA*Priority Vending",-2.60
SALE,04/05/2015,04/07/2015,"BLENDED HEALTH CAFE",-9.91
SALE,05/09/2015,05/11/2015,"FTD*STOP AND SHOP SB",-83.97
SALE,05/01/2015,05/03/2015,"CEDAR LEE THEATRE",-16.75
SALE,04/09/2015,04/12/2015,"RAILSAPPS",-9.00
SALE,03/10/2015,03/11/2015,"NATIONWIDE/ALLIED INS",-566.22
SALE,03/09/2015,03/11/2015,"TOMMY'S RESTAURANT",-34.34
SALE,03/22/2015,03/23/2015,"PANERA BREAD #4635",-10.43
SALE,03/15/2015,03/16/2015,"MARATHON PETRO073601",-3.59
SALE,05/24/2015,05/25/2015,"WHOLEFDS CTR 10199",-48.96
SALE,04/16/2015,04/19/2015,"SHELL OIL 57424307908",-20.12
SALE,03/27/2015,03/27/2015,"UBER TECHNOLOGIES INC",-3.61
SALE,05/08/2015,05/10/2015,"SQ *39 BELOW FOODMKT",-4.86
SALE,05/01/2015,05/03/2015,"TARGET        00018044",-3.12
SALE,06/07/2015,06/08/2015,"HIGH THAI D",-55.68
SALE,04/29/2015,05/01/2015,"PICCADILLY ARTISAN YOGUR",-2.50
SALE,04/25/2015,04/26/2015,"SQ *TWO STIX 5 STONES RET",-26.50
SALE,03/16/2015,03/18/2015,"CEDAR LEE THEATRE",-12.00
SALE,03/19/2015,03/22/2015,"SHELL OIL 57424307908",-7.03
SALE,03/30/2015,04/01/2015,"LUNA",-15.12
SALE,05/28/2015,05/31/2015,"AIR CANADA  0147623374272",-796.38
SALE,03/15/2015,03/17/2015,"UNITED      0162928568205",-75.00
SALE,03/28/2015,03/29/2015,"UBER TECHNOLOGIES INC",-7.13
SALE,03/31/2015,04/02/2015,"EXXONMOBIL    97376107",-27.97
SALE,05/15/2015,05/17/2015,"USA*Priority Vending",-2.60
SALE,03/16/2015,03/18/2015,"LUNA",-18.36
SALE,03/18/2015,03/19/2015,"COOL BEANZ    52275898",-5.85
SALE,05/12/2015,05/13/2015,"SAM ASH MUSIC #35",-19.64
SALE,05/29/2015,05/31/2015,"CHINA GATE RESTAURANT L",-19.25
SALE,05/24/2015,05/25/2015,"TWC*TIME WRNR CABLE",-64.99
SALE,05/18/2015,05/19/2015,"WHOLEFDS CTR 10199",-4.99
SALE,04/02/2015,04/05/2015,"DUNKIN #351370     Q35",-6.22
SALE,04/12/2015,04/14/2015,"PEPPERMINT THAI CUISINE",-51.37
SALE,04/09/2015,04/10/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,04/13/2015,04/14/2015,"CVS/PHARMACY #03634",-22.66
SALE,05/11/2015,05/13/2015,"CINEMARK THEATRES 283",-13.90
SALE,04/21/2015,04/22/2015,"USA*Priority Vending",-2.60
SALE,05/19/2015,05/20/2015,"PETSMART INC 2313",-33.24
SALE,05/01/2015,05/03/2015,"NAMASTE INDIA GARDEN",-50.85
SALE,05/30/2015,05/31/2015,"CVS/PHARMACY #03634",-43.46
SALE,06/07/2015,06/08/2015,"WHOLEFDS CTR 10199",-143.27
SALE,03/27/2015,03/30/2015,"PORTOFINO WINE BANK",-10.53
SALE,05/09/2015,05/10/2015,"EXPLORERS CLUB",-92.24
SALE,04/30/2015,05/01/2015,"WHOLEFDS CTR 10199",-68.03
SALE,03/21/2015,03/23/2015,"I-X CENTER CORPORATION",-10.00
SALE,04/26/2015,04/28/2015,"SHELL OIL 12406089008",-29.56
SALE,03/08/2015,03/09/2015,"UBER TECHNOLOGIES INC",-13.79
SALE,05/27/2015,05/28/2015,"LAURA LEE SALON INC",-30.24
SALE,04/26/2015,04/27/2015,"WHOLEFDS MDT #10465",-17.85
SALE,03/17/2015,03/19/2015,"SHELL OIL 57424307908",-20.07
SALE,05/05/2015,05/06/2015,"CVS/PHARMACY #04359",-6.03
SALE,03/18/2015,03/19/2015,"PETSMART INC 2313",-28.24
SALE,04/22/2015,04/23/2015,"CHIPOTLE 1216",-9.72
SALE,05/17/2015,05/18/2015,"SQ *PHOENIX COFFEE COMPAN",-8.85
SALE,04/22/2015,04/24/2015,"STONE OVEN BAKERY",-4.50
SALE,05/06/2015,05/07/2015,"AT&T*BILL PAYMENT",-286.21
SALE,04/20/2015,04/21/2015,"CVS/PHARMACY #03634",-60.56
SALE,04/04/2015,04/05/2015,"LIQUID PLANET",-6.70
SALE,04/06/2015,04/08/2015,"BLENDED HEALTH CAFE",-9.91
SALE,04/02/2015,04/05/2015,"KWIK FILL 228",-30.04
SALE,04/15/2015,04/16/2015,"SQ *PHOENIX COFFEE COMPAN",-3.30
SALE,05/28/2015,05/29/2015,"MACY'S EAST #578",-167.38
SALE,03/16/2015,03/18/2015,"SHELL OIL 57424318004",-17.88
SALE,05/23/2015,05/25/2015,"MITCHELLS ICE CREAM",-6.00
SALE,03/08/2015,03/09/2015,"UBER",-10.79
SALE,03/28/2015,03/29/2015,"UBER TECHNOLOGIES INC",-3.05
SALE,04/16/2015,04/17/2015,"CHIPOTLE 0079",-8.96
SALE,04/21/2015,04/22/2015,"SQ *PHOENIX COFFEE COMPAN",-3.80
